No_;FST;CMDE;CMDE_LIGNE;REFERENCE;DESIGNATION;TOT_CMDE;Qte_restante;Date_liv;MNT_HT;MNT_TOTAL_HT;MNT_DU
FTHYSS;THYSSENKRUPP MAT.FRCE;OA1702091;40000;AL-P2024-T3511;AL-P2024-T3511 EN 2321/2318;9000;9000;01/09/2017 00:00;0,16;1440;1440
FTHYSS;THYSSENKRUPP MAT.FRCE;OA1702091;50000;AL-P2024-T3 EN 2321;AL-P2024-T3 EN 2321 AERO;9000;9000;01/09/2017 00:00;0,22;1980;1980
FTHYSS;THYSSENKRUPP MAT.FRCE;OA1702091;60000;AL-P2024-T3511;AL-P2024-T3511 EN 2070-3;9000;9000;01/09/2017 00:00;0,35;3150;3150
FTMSTE;TM STEELS;OA1702221;10000;MAT61892;AISI 4140 105 KSI SVT  MS-12502-07-01R02 105KSI;1;1;04/09/2017 00:00;1781;1781;1781
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701123;30000;031238-03-70R03#;TRAITEMENT THERMIQUE;14;1;15/06/2017 00:00;54;756;54
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701382;70000;038324-03-70R03#;TRAITEMENT THERMIQUE;8;1;03/07/2017 00:00;210;1680;210
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701931;10000;038174-03-70R02#;TRAITEMENT THERMIQUE;8;8;18/09/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701931;20000;038324-03-70R03#;TRAITEMENT THERMIQUE;8;8;18/09/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701922;10000;038324-03-70R03#;TRAITEMENT THERMIQUE;8;8;11/09/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701922;20000;038174-03-70R02#;TRAITEMENT THERMIQUE;8;8;11/09/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701923;10000;038324-03-70R03#;TRAITEMENT THERMIQUE;8;8;11/09/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701923;20000;038324-03-70R03#;TRAITEMENT THERMIQUE;8;8;11/09/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701923;40000;038324-03-70R03#;TRAITEMENT THERMIQUE;7;7;11/09/2017 00:00;210;1470;1470
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701726;10000;038174-03-70R02#;TRAITEMENT THERMIQUE;8;8;03/08/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701726;20000;038324-03-70R03#;TRAITEMENT THERMIQUE;9;9;03/08/2017 00:00;210;1890;1890
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701726;30000;038324-03-70R03#;TRAITEMENT THERMIQUE;8;8;03/08/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701784;10000;038174-03-70R02#;TRAITEMENT THERMIQUE;8;8;04/08/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701784;20000;038324-03-70R03#;TRAITEMENT THERMIQUE;8;8;04/08/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701859;10000;038174-03-70R02#;TRAITEMENT THERMIQUE;4;4;29/08/2017 00:00;210;840;840
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701859;20000;038174-03-70R02#;TRAITEMENT THERMIQUE;2;2;29/08/2017 00:00;210;420;420
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1701859;30000;038324-03-70R03#;TRAITEMENT THERMIQUE;2;1;29/08/2017 00:00;210;420;210
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1702094;10000;038174-03-70R02#;TRAITEMENT THERMIQUE;8;8;30/09/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1702094;20000;038174-03-70R02#;TRAITEMENT THERMIQUE;8;8;30/09/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1702075;10000;038174-03-70R02#;TRAITEMENT THERMIQUE;8;8;11/09/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1702075;20000;038174-03-70R02#;TRAITEMENT THERMIQUE;8;8;11/09/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1702075;30000;038324-03-70R03#;TRAITEMENT THERMIQUE;8;8;18/09/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1702075;40000;038324-03-70R03#;TRAITEMENT THERMIQUE;8;8;18/09/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1702075;50000;038174-03-70R02#;TRAITEMENT THERMIQUE;8;8;25/09/2017 00:00;210;1680;1680
FTSRHONE;TECHNIQUES SURFACES RHONE;OA1702075;60000;038174-03-70R02#;TRAITEMENT THERMIQUE;8;8;25/09/2017 00:00;210;1680;1680
FUNION;UNION DES FORGERONS;OA1702078;10000;EB-BSC-2010372-01-05;EB-BSC/MS-012501-02-01RA03;6;6;06/10/2017 00:00;274;1644;1644
FUNION;UNION DES FORGERONS;OA1702059;10000;EB-BSC-2010145-01;EB-BSC/MS-003812-03R01;10;10;15/09/2017 00:00;242;2420;2420
FUNION;UNION DES FORGERONS;OA1702095;10000;MAT61863;EB-BSC/MS-003812-03;16;16;15/09/2017 00:00;241;3856;3856
FUNION;UNION DES FORGERONS;OA1702172;10000;MAT61933;EB-BSC/MS-003812-03R01;6;6;22/09/2017 00:00;331;1986;1986
FUNIVE;UNIVERSAL SUPPLY Ltd t/a USEL;OA1701533;10000;FOURN-00392;SCREW,12 PT CAP 1.125-8UN X 6.500;32;32;02/10/2017 00:00;17,72;567,04;567,04
FUNIVE;UNIVERSAL SUPPLY Ltd t/a USEL;OA1701533;20000;FOURN-00356;"SAFETY HOIST RING, 1""-8UNC MALE THD";2;2;02/10/2017 00:00;398,5;797;797
FUNIVE;UNIVERSAL SUPPLY Ltd t/a USEL;OA1701533;30000;FOURN-00354;EYE, LIFTING, 2-1/8 DIA F/1-1/8 THD;2;2;02/10/2017 00:00;48,25;96,5;96,5
FUNIVE;UNIVERSAL SUPPLY Ltd t/a USEL;OA1701226;30000;FOURN-00006;PIPE PLUG HEX HD 1/2 NPT-- ST/STL-;52;6;24/07/2017 00:00;7,1;369,2;42,6
FUNIVE;UNIVERSAL SUPPLY Ltd t/a USEL;OA1701360;20000;FOURN-00242;SCREW HEX HD CAP .250-20 X .500 STL GR 5 ZN PL YEL;200;200;11/09/2017 00:00;1,3;260;260
FUNIVE;UNIVERSAL SUPPLY Ltd t/a USEL;OA1701882;10000;FOURN-00356;"SAFETY HOIST RING, 1""-8UNC MALE THD";1;1;13/11/2017 00:00;398,5;398,5;398,5
FUNIVE;UNIVERSAL SUPPLY Ltd t/a USEL;OA1701882;20000;FOURN-00354;EYE, LIFTING, 2-1/8 DIA F/1-1/8 THD;1;1;13/11/2017 00:00;48,25;48,25;48,25
FUNIVE;UNIVERSAL SUPPLY Ltd t/a USEL;OA1701830;30000;FOURN-00007;"PIPE PLUG HEX HEAD 1""- NPT ST/STL";52;52;04/09/2017 00:00;14,04;730,08;730,08
FUNIVE;UNIVERSAL SUPPLY Ltd t/a USEL;OA1702125;10000;FOURN-00550;EYE, LIFTING, 2-1/8 DIA F/1-1/8 THD;2;2;01/12/2017 00:00;48,25;96,5;96,5
FUNIVE;UNIVERSAL SUPPLY Ltd t/a USEL;OA1702125;20000;FOURN-00544;"STUD, DBL ENDED 1.000-8UNC-2A X 4.00"" LG A193/GR";20;20;01/12/2017 00:00;8,1;162;162
FUNIVE;UNIVERSAL SUPPLY Ltd t/a USEL;OA1702125;30000;FOURN-00546;CAP PLUG, TAPERED .788/.690 OD X .562 LG PLASTIC;4;4;01/12/2017 00:00;9,25;37;37
FUSIREA;USIREA;OA1702177;10000;030363-03-70R03#;USINAGE SEUL;10;10;25/09/2017 00:00;120;1200;1200
FUSIREA;USIREA;OA1701910;10000;030363-03-70R03#;USINAGE SEUL;4;4;28/08/2017 00:00;120;480;480
FUSIREA;USIREA;OA1701910;20000;030362-03-70R03#;USINAGE SEUL;8;8;28/08/2017 00:00;120;960;960
FUSIREA;USIREA;OA1701948;20000;031238-03-70R03#;USINAGE SEUL;12;12;28/08/2017 00:00;121;1452;1452
FUSIREA;USIREA;OA1701949;10000;031238-03-70R03#;USINAGE SEUL;12;12;04/09/2017 00:00;121;1452;1452
FUSIREA;USIREA;OA1701949;20000;031239-03-70R03#;USINAGE SEUL;11;11;04/09/2017 00:00;121;1331;1331
FUSIREA;USIREA;OA1702012;10000;031238-03-70R03#;USINAGE SEUL;36;36;13/09/2017 00:00;96;3456;3456
FUSIREA;USIREA;OA1701875;10000;030309-03-70R02#;USINAGE SEUL;12;12;28/08/2017 00:00;118;1416;1416
FUSIREA;USIREA;OA1701875;20000;030310-03-70R03#;USINAGE SEUL;11;11;28/08/2017 00:00;118;1298;1298
FUSIREA;USIREA;OA1701741;10000;031238-03-70R03#;USINAGE SEUL;24;24;05/09/2017 00:00;121;2904;2904
FUSIREA;USIREA;OA1701741;30000;031239-03-70R03#;USINAGE SEUL;24;24;06/09/2017 00:00;121;2904;2904
FUSIREA;USIREA;OA1701599;10000;030309-03-70R02#;USINAGE SEUL;12;12;31/08/2017 00:00;118;1416;1416
FUSIREA;USIREA;OA1701599;20000;030310-03-70R03#;USINAGE SEUL;12;12;05/09/2017 00:00;118;1416;1416
FVALLA;VALLA;OA1702121;10000;038174-03-70R02#;FORAGE;8;8;01/09/2017 00:00;39,29;314,32;314,32
FVALLA;VALLA;OA1702121;20000;038174-03-70R02#;FORAGE;8;8;01/09/2017 00:00;39,29;314,32;314,32
FVALLA;VALLA;OA1702054;50000;038174-03-70R02#;FORAGE;8;8;31/08/2017 00:00;39,29;314,32;314,32
FVALLA;VALLA;OA1702054;60000;038174-03-70R02#;FORAGE;8;8;31/08/2017 00:00;39,29;314,32;314,32
FVALLA;VALLA;OA1702014;10000;P495858RAM#;CAROTTAGE;4;4;28/08/2017 00:00;186,3;745,2;745,2
FVERNE;VERNET;OA1702074;10000;038174-03-70R02#;RECTIFICATION EXTER;8;8;05/09/2017 00:00;118;944;944
FVERNE;VERNET;OA1702074;20000;038174-03-70R02#;RECTIFICATION EXTER;8;8;05/09/2017 00:00;118;944;944
FVERNE;VERNET;OA1702074;30000;038324-03-70R03#;RECTIFICATION EXTER;8;8;14/09/2017 00:00;118;944;944
FVERNE;VERNET;OA1702074;40000;038324-03-70R03#;RECTIFICATION EXTER;8;8;14/09/2017 00:00;118;944;944
FVERNE;VERNET;OA1702074;50000;038174-03-70R02#;RECTIFICATION EXTER;8;8;18/09/2017 00:00;118;944;944
FVERNE;VERNET;OA1702074;60000;038174-03-70R02#;RECTIFICATION EXTER;8;8;18/09/2017 00:00;118;944;944
FVERNE;VERNET;OA1701917;10000;038324-03-70R03#;RECTIFICATION EXTER;7;7;04/09/2017 00:00;118;826;826
FVERNE;VERNET;OA1701917;20000;038324-03-70R03#;RECTIFICATION EXTER;8;8;04/09/2017 00:00;118;944;944
FVERNE;VERNET;OA1701917;30000;038174-03-70R02#;RECTIFICATION EXTER;8;8;04/09/2017 00:00;118;944;944
FVERNE;VERNET;OA1701917;40000;038174-03-70R02#;RECTIFICATION EXTER;8;8;04/09/2017 00:00;118;944;944
FVERNE;VERNET;OA1701918;10000;038324-03-70R03#;RECTIFICATION EXTER;8;8;;118;944;944
FVERNE;VERNET;OA1701918;20000;038324-03-70R03#;RECTIFICATION EXTER;8;8;;118;944;944
FVERNE;VERNET;OA1701918;30000;038324-03-70R03#;RECTIFICATION EXTER;8;8;;118;944;944
FVERNE;VERNET;OA1701783;10000;038324-03-70R03#;RECTIFICATION EXTER;8;8;30/07/2017 00:00;118;944;944
FVERNE;VERNET;OA1701783;20000;038174-03-70R02#;RECTIFICATION EXTER;8;8;30/07/2017 00:00;118;944;944
FVERNE;VERNET;OA1701381;70000;038324-03-70R03#;RECTIFICATION EXTER;8;1;26/06/2017 00:00;118;944;118
FVERNE;VERNET;OA1701478;10000;030324-04-01R01#;RECTIFICATION EXTER 2;4;4;06/07/2017 00:00;128;512;512
FVERNE;VERNET;OA1701478;20000;030324-04-01R01#;RECTIFICATION EXTER;4;4;06/07/2017 00:00;65;260;260
